model_id,timing_mode,checkpoint_id,target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement
ar,pseudo,pre_advance,A,80,7.136876466075766,2.4019986787197354,-0.0348836821925187,1.0,1.0,0.9125,1.0,0.0,,,
no_revision,pseudo,pre_advance,A,80,7.26944298718703,2.553570419453158,-0.1943847229089564,1.0185748655930085,0.0511144806424531,0.8875,1.0,0.0,,,
midas_umidas,pseudo,pre_advance,A,80,13.55397343598597,8.229496807262095,-1.5805326543914464,1.8991464263691624,0.0031455831228358,0.6125,1.0,0.0,,,
no_revision,pseudo,pre_second,S,79,0.5696627235545563,0.3997025316455696,-0.0657987341772151,0.0820589523663922,0.1554026466179592,0.9620253164556962,1.0,0.0,,,
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,S,79,0.5991036053382641,0.4468902162230266,-0.009698754124582,0.0862998616202738,0.1557071184192851,0.9746835443037974,1.0,33.0126582278481,9.068423348732113e-05,9.508449153555436e-05,9.988045172015791e-05
monthly_mixed_frequency_kalman_em,pseudo,pre_second,S,79,0.6081282669672763,0.400794429397885,0.0289544239291325,0.0875998488725852,0.1556697826887128,0.9746835443037974,0.9493670886075948,45.63291139240506,0.0001005929052231,9.532703282480904e-05,0.0002441024158214
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,S,79,0.6397055644348428,0.4772793371802066,0.0627212431102382,0.0921485051943153,0.1560025070877839,0.9746835443037974,1.0,34.0253164556962,9.226894145051616e-05,9.490354410882066e-05,9.999303264763624e-05
revision_dfm_kalman_em,pseudo,pre_second,S,79,0.6602711636334132,0.4505084513527118,0.0668694939880955,0.0951109449946442,0.1558424987832842,0.9620253164556962,1.0,26.164556962025316,9.320625518598168e-05,9.344695210710328e-05,9.989508682779892e-05
release_dfm,pseudo,pre_second,S,79,0.6904136306729566,0.4416792069701228,-0.0079340789482546,0.0994529164186645,0.1561355396190309,0.9620253164556962,1.0,0.0,,,
standard_dfm,pseudo,pre_second,S,79,2.91628596847266,1.6502216253940645,0.629068819194277,0.420086064049367,0.1983784451516895,0.9240506329113924,1.0,0.0,,,
