model_id,timing_mode,checkpoint_id,outcome_id,threshold_abs_revision,n_obs,sign_accuracy,balanced_accuracy,actual_positive_pred_positive,actual_positive_pred_nonpositive,actual_negative_pred_positive,actual_negative_pred_nonpositive,mean_abs_realized_revision,mean_abs_forecast_revision
spf,exact,pre_advance,DELTA_SA,0.0,4,0.0,0.5,0,3,0,1,0.13862499999999994,0.0
spf,exact,pre_advance,DELTA_SA,0.1,2,0.0,0.5,0,1,0,1,0.22589999999999985,0.0
spf,exact,pre_advance,DELTA_SA,0.2,1,0.0,1.0,0,0,0,1,0.3404999999999998,0.0
spf,exact,pre_second,DELTA_TS,0.0,4,0.0,0.0,0,4,0,0,0.13554999999999992,0.0
spf,exact,pre_second,DELTA_TS,0.1,3,0.0,0.0,0,3,0,0,0.16803333333333326,0.0
spf,exact,pre_second,DELTA_TS,0.2,1,0.0,0.0,0,1,0,0,0.2393999999999998,0.0
spf,exact,pre_third,DELTA_MT,0.0,4,0.0,0.5,0,2,0,2,0.5086,0.0
spf,exact,pre_third,DELTA_MT,0.1,4,0.0,0.5,0,2,0,2,0.5086,0.0
spf,exact,pre_third,DELTA_MT,0.2,4,0.0,0.5,0,2,0,2,0.5086,0.0
spf,pseudo,pre_advance,DELTA_SA,0.0,4,0.0,0.5,0,3,0,1,0.13862499999999994,0.0
spf,pseudo,pre_advance,DELTA_SA,0.1,2,0.0,0.5,0,1,0,1,0.22589999999999985,0.0
spf,pseudo,pre_advance,DELTA_SA,0.2,1,0.0,1.0,0,0,0,1,0.3404999999999998,0.0
spf,pseudo,pre_second,DELTA_TS,0.0,4,0.0,0.0,0,4,0,0,0.13554999999999992,0.0
spf,pseudo,pre_second,DELTA_TS,0.1,3,0.0,0.0,0,3,0,0,0.16803333333333326,0.0
spf,pseudo,pre_second,DELTA_TS,0.2,1,0.0,0.0,0,1,0,0,0.2393999999999998,0.0
spf,pseudo,pre_third,DELTA_MT,0.0,4,0.0,0.5,0,2,0,2,0.5086,0.0
spf,pseudo,pre_third,DELTA_MT,0.1,4,0.0,0.5,0,2,0,2,0.5086,0.0
spf,pseudo,pre_third,DELTA_MT,0.2,4,0.0,0.5,0,2,0,2,0.5086,0.0
standard_dfm,exact,pre_advance,DELTA_SA,0.0,4,0.75,0.5,3,0,1,0,0.13862499999999994,0.0921944496578115
standard_dfm,exact,pre_advance,DELTA_SA,0.1,2,0.5,0.5,1,0,1,0,0.22589999999999985,0.10071405357582035
standard_dfm,exact,pre_advance,DELTA_SA,0.2,1,0.0,0.0,0,0,1,0,0.3404999999999998,0.1210594422346642
standard_dfm,exact,pre_second,DELTA_TS,0.0,4,1.0,1.0,4,0,0,0,0.13554999999999992,0.1162103273813409
standard_dfm,exact,pre_second,DELTA_TS,0.1,3,1.0,1.0,3,0,0,0,0.16803333333333326,0.11713817827003731
standard_dfm,exact,pre_second,DELTA_TS,0.2,1,1.0,1.0,1,0,0,0,0.2393999999999998,0.1235734678744246
standard_dfm,exact,pre_third,DELTA_MT,0.0,4,0.5,0.5,2,0,2,0,0.5086,0.3974165819067321
standard_dfm,exact,pre_third,DELTA_MT,0.1,4,0.5,0.5,2,0,2,0,0.5086,0.3974165819067321
standard_dfm,exact,pre_third,DELTA_MT,0.2,4,0.5,0.5,2,0,2,0,0.5086,0.3974165819067321
standard_dfm,pseudo,pre_advance,DELTA_SA,0.0,4,0.75,0.5,3,0,1,0,0.13862499999999994,0.09300820622148566
standard_dfm,pseudo,pre_advance,DELTA_SA,0.1,2,0.5,0.5,1,0,1,0,0.22589999999999985,0.1028216691315526
standard_dfm,pseudo,pre_advance,DELTA_SA,0.2,1,0.0,0.0,0,0,1,0,0.3404999999999998,0.1203866502518975
standard_dfm,pseudo,pre_second,DELTA_TS,0.0,4,1.0,1.0,4,0,0,0,0.13554999999999992,0.11614052448552184
standard_dfm,pseudo,pre_second,DELTA_TS,0.1,3,1.0,1.0,3,0,0,0,0.16803333333333326,0.11704430048403676
standard_dfm,pseudo,pre_second,DELTA_TS,0.2,1,1.0,1.0,1,0,0,0,0.2393999999999998,0.1234666149540599
standard_dfm,pseudo,pre_third,DELTA_MT,0.0,4,0.5,0.5,2,0,2,0,0.5086,0.3999230722135996
standard_dfm,pseudo,pre_third,DELTA_MT,0.1,4,0.5,0.5,2,0,2,0,0.5086,0.3999230722135996
standard_dfm,pseudo,pre_third,DELTA_MT,0.2,4,0.5,0.5,2,0,2,0,0.5086,0.3999230722135996
