model_id,timing_mode,checkpoint_id,target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,initialization_seed,source_dir
release_dfm,pseudo,pre_second,S,24,0.7387754130020294,0.2996069000771788,-0.0672195451445246,0.0603620261248778,0.1728264632823621,1.0,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
revision_dfm_kalman_em,pseudo,pre_second,S,24,0.7301370068195933,0.3637762436376492,-0.0099750941122401,0.0596562206926928,0.1726446725264713,1.0,1.0,25.583333333333332,9.397638143183755e-05,9.35706403094508e-05,9.938627658559958e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
standard_dfm,pseudo,pre_second,S,24,4.779551654376675,2.7020777460221983,0.7060222071780403,0.3905157328589865,0.2075706023090064,0.875,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
ar,pseudo,pre_third,T,24,12.10671693531214,4.872120717856216,-0.6749672842987677,1.0,1.0,0.8333333333333334,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
bridge,pseudo,pre_third,T,24,7.601352977976952,3.607425963077295,-0.1385490785478011,0.6278624517771441,0.1963628930319808,0.8333333333333334,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,T,24,0.2333183148667129,0.1640013711938402,-0.108935870097208,0.0192718072218393,0.1704032973963659,1.0,1.0,41.791666666666664,8.915742755310943e-05,9.190752220677238e-05,9.983330483740436e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,T,24,0.2348761904526665,0.1687300913010238,-0.1026831825400697,0.0194004858383691,0.1704107043521955,1.0,1.0,43.208333333333336,9.05017759348872e-05,8.975272628334674e-05,9.900583189000944e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
midas_umidas,pseudo,pre_third,T,24,10.494610498414424,3.767253717240458,0.3620150997459661,0.8668419815618533,0.2675624036478184,1.0,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
monthly_mixed_frequency_kalman_em,pseudo,pre_third,T,24,0.2668187274285437,0.2057068459518964,-0.0813487996061731,0.0220389002942906,0.1704643658628944,1.0,1.0,36.166666666666664,9.39078389301324e-05,9.411801494758016e-05,9.9855881634068e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
no_revision,pseudo,pre_third,T,24,0.2279327879734142,0.1606416666666668,-0.1075833333333334,0.0188269692924424,0.1703990737512004,1.0,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
release_dfm,pseudo,pre_third,T,24,0.3667663794332295,0.1995071758371295,-0.078995397754612,0.0302944540120094,0.1705448027357041,1.0,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
revision_dfm_kalman_em,pseudo,pre_third,T,24,0.2357232363253274,0.1666971006750676,-0.103605646805121,0.0194704507906502,0.1704110554355867,1.0,1.0,25.666666666666668,9.545571087091472e-05,9.684977363210394e-05,9.952672674741254e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
standard_dfm,pseudo,pre_third,T,24,4.712195866543578,2.6726649500931523,0.6404766172886805,0.3892216107571929,0.2036117605727898,0.875,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
ar,exact,pre_advance,A,24,12.772608971613195,5.0482671137361335,-0.8181744385362836,1.0,1.0,0.8333333333333334,1.0,0.0,,,,2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_2
bridge,exact,pre_advance,A,24,8.613899659546695,4.1482852609401455,-0.2747897392492237,0.6744040844506295,0.2113433906553904,0.7916666666666666,1.0,0.0,,,,2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_2
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,24,5.507202424340639,2.9734681826624687,-0.3354385962489621,0.4311728666069914,0.1827223531828106,0.9166666666666666,1.0,42.916666666666664,8.922090331805355e-05,8.974665031203716e-05,9.98291613805056e-05,2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_2
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,24,5.6703753949795015,3.0455107324009645,-0.435846832240387,0.4439480929527999,0.1811855876384452,0.9166666666666666,1.0,42.708333333333336,9.216182980243851e-05,9.276302974532508e-05,9.925439501345876e-05,2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_2
midas_umidas,exact,pre_advance,A,24,18.771174886157752,8.23184582438807,0.2086608681882027,1.4696429623639318,0.1577111514188085,0.625,1.0,0.0,,,,2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_2
