subsample,model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,RMSE,MAE,bias,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,relative_RMSFE,DM_test_vs_ar_normal_approx
exclude_pandemic,release_dfm,exact,pre_third,DELTA_MT,4,0.6476687847705994,0.5579266076178504,0.3111794916057876,0.5,1.0,0.0,,,,1.0287006535257437,
exclude_pandemic,release_dfm,pseudo,pre_advance,DELTA_SA,4,0.2217189807060592,0.13476047251307552,0.12462841163142452,0.75,1.0,0.0,,,,0.9959628498906999,
exclude_pandemic,release_dfm,pseudo,pre_second,DELTA_TS,4,0.11259261443482062,0.09148804431777487,-0.08497406892298952,1.0,1.0,0.0,,,,1.1443794803636709,
exclude_pandemic,release_dfm,pseudo,pre_third,DELTA_MT,4,0.6452762509353113,0.5528096529997947,0.31768524108575885,0.5,1.0,0.0,,,,1.0249005612906128,
exclude_pandemic,revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,4,0.3204254192767376,0.25779502119448555,0.18030657506722153,0.5,0.0,2.0,0.12432061296953056,0.12289352484758875,0.1288209015766801,1.439352701081404,
exclude_pandemic,revision_dfm_kalman_em,exact,pre_second,DELTA_TS,4,0.15367239346421316,0.1347530387754858,-0.1347530387754858,1.0,0.0,2.0,0.1257504711851246,0.1255715528948837,0.1290358380930415,1.5619100299036235,
exclude_pandemic,revision_dfm_kalman_em,exact,pre_third,DELTA_MT,4,0.5741431923138749,0.5431611175927915,0.14109919945731436,0.5,0.0,2.0,0.12451126797463485,0.12344706589734256,0.1282338233026543,0.9119190102080257,
exclude_pandemic,revision_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,4,0.31752219189072495,0.252412906727427,0.1839651743844732,0.5,0.0,2.0,0.12430887345246457,0.12287137030099629,0.1288208237355194,1.4263113881002332,
exclude_pandemic,revision_dfm_kalman_em,pseudo,pre_second,DELTA_TS,4,0.15367321829721842,0.13475423019706495,-0.13475423019706495,1.0,0.0,2.0,0.12575350936591614,0.12557431265425484,0.1290498835986678,1.5619184134194577,
exclude_pandemic,revision_dfm_kalman_em,pseudo,pre_third,DELTA_MT,4,0.5741841407097695,0.5431906525949709,0.14116130244101582,0.5,0.0,2.0,0.12444039027218007,0.1233058527763508,0.1282310459127484,0.9119840490714203,
exclude_pandemic,spf,exact,pre_advance,DELTA_SA,4,0.18521783796384184,0.13862499999999994,0.03162499999999998,0.0,1.0,0.0,,,,0.8319995210226065,
exclude_pandemic,spf,exact,pre_second,DELTA_TS,4,0.15440160297095354,0.13554999999999992,-0.13554999999999992,0.0,1.0,0.0,,,,1.5693216385654232,
exclude_pandemic,spf,exact,pre_third,DELTA_MT,4,0.5274127178974736,0.5086,0.07469999999999992,0.0,1.0,0.0,,,,0.8376963971964279,
exclude_pandemic,spf,pseudo,pre_advance,DELTA_SA,4,0.18521783796384184,0.13862499999999994,0.03162499999999998,0.0,1.0,0.0,,,,0.8319995210226065,
exclude_pandemic,spf,pseudo,pre_second,DELTA_TS,4,0.15440160297095354,0.13554999999999992,-0.13554999999999992,0.0,1.0,0.0,,,,1.5693216385654232,
exclude_pandemic,spf,pseudo,pre_third,DELTA_MT,4,0.5274127178974736,0.5086,0.07469999999999992,0.0,1.0,0.0,,,,0.8376963971964279,
exclude_pandemic,standard_dfm,exact,pre_advance,DELTA_SA,4,0.2217168052840871,0.13474201905901542,0.12464520244634165,0.75,1.0,0.0,,,,0.9959530778835396,
exclude_pandemic,standard_dfm,exact,pre_second,DELTA_TS,4,0.10245984592349086,0.0845288942523458,-0.06995759151036024,1.0,1.0,0.0,,,,1.0413910879025148,
exclude_pandemic,standard_dfm,exact,pre_third,DELTA_MT,4,0.6549096861246385,0.5346146519012216,0.3947721115551704,0.5,1.0,0.0,,,,1.0402014701934077,
exclude_pandemic,standard_dfm,pseudo,pre_advance,DELTA_SA,4,0.2217189807060592,0.13476047251307552,0.12462841163142452,0.75,1.0,0.0,,,,0.9959628498906999,
exclude_pandemic,standard_dfm,pseudo,pre_second,DELTA_TS,4,0.10255199603702578,0.08460930831474092,-0.07003215530327538,1.0,1.0,0.0,,,,1.0423276919557372,
exclude_pandemic,standard_dfm,pseudo,pre_third,DELTA_MT,4,0.6537983307636788,0.5332338513363053,0.39500156992898544,0.5,1.0,0.0,,,,1.0384362901924546,
post_pandemic,ar,exact,pre_advance,DELTA_SA,4,0.22261772186622356,0.14550314039374757,0.11387890991557434,0.75,1.0,0.0,,,,1.0,1.0
post_pandemic,ar,exact,pre_second,DELTA_TS,4,0.09838748104696876,0.08036008454753382,-0.06001337920123627,1.0,1.0,0.0,,,,1.0,1.0
post_pandemic,ar,exact,pre_third,DELTA_MT,4,0.6295988853033145,0.48949340268920727,0.3896897513886399,0.5,1.0,0.0,,,,1.0,1.0
post_pandemic,ar,pseudo,pre_advance,DELTA_SA,4,0.22261772186622356,0.14550314039374757,0.11387890991557434,0.75,1.0,0.0,,,,1.0,1.0
post_pandemic,ar,pseudo,pre_second,DELTA_TS,4,0.09838748104696876,0.08036008454753382,-0.06001337920123627,1.0,1.0,0.0,,,,1.0,1.0
post_pandemic,ar,pseudo,pre_third,DELTA_MT,4,0.6295988853033145,0.48949340268920727,0.3896897513886399,0.5,1.0,0.0,,,,1.0,1.0
post_pandemic,bridge,exact,pre_advance,DELTA_SA,4,0.19628861445707124,0.15481162521728045,0.04306961256276395,0.75,1.0,0.0,,,,0.8817295083768123,
